"Language","original","english","chinese","chinesesimp",
"STR_RC_DIALOG_TITLE","Respawn System","Respawn System","复活系统","复活系统",
"STR_RC_DIALOG_CONTENT","You currently have {coins} respawn coin(s). Do you want to spend 1 respawn coin to return to your last\ndeath location immediately?","You currently have {coins} respawn coin(s). Do you want to spend 1 respawn coin to return to your last\ndeath location immediately?","您当前拥有 {coins} 个复活币。是否消耗 1 个复活币，立即返回上次死亡地点？","您当前拥有 {coins} 个复活币。是否消耗 1 个复活币，立即返回上次死亡地点？",
"STR_RC_DIALOG_CONFIRM_HINT","After confirmation, you will be teleported to your last death location immediately and 1 respawn coin\nwill be deducted.","After confirmation, you will be teleported to your last death location immediately and 1 respawn coin\nwill be deducted.","确认后将立即传送至上次死亡位置，并扣除 1 个复活币。","确认后将立即传送至上次死亡位置，并扣除 1 个复活币。",
"STR_RC_DIALOG_CANNOT_USE","Current conditions are not met and the respawn coin cannot be used.","Current conditions are not met and the respawn coin cannot be used.","当前条件不满足，无法使用复活币。","当前条件不满足，无法使用复活币。",
"STR_RC_BUTTON_CONFIRM","Confirm","Confirm","确认","确认",
"STR_RC_BUTTON_CANCEL","Cancel","Cancel","取消","取消",
"STR_RC_ACTION_USE_VOUCHER","Use Respawn Voucher","Use Respawn Voucher","使用复活凭证","使用复活凭证",
"STR_RC_STATUS_VOUCHER_GAIN","You received {coins} respawn coin(s).","You received {coins} respawn coin(s).","已获得 {coins} 个复活币。","已获得 {coins} 个复活币。",
"STR_RC_STATUS_INVULNERABILITY","Invulnerability: {seconds}s","Invulnerability: {seconds}s","无敌时间：{seconds}秒","无敌时间：{seconds}秒",
"STR_RC_ITEM_VOUCHER_BASE_NAME","Respawn Voucher","Respawn Voucher","复活币凭证","复活币凭证",
"STR_RC_ITEM_VOUCHER_BASE_DESC","Use to gain respawn coins.","Use to gain respawn coins.","使用后可增加复活币。","使用后可增加复活币。",
"STR_RC_ITEM_VOUCHER_1_NAME","Respawn Voucher (1 use)","Respawn Voucher (1 use)","复活币凭证（1次）","复活币凭证（1次）",
"STR_RC_ITEM_VOUCHER_1_DESC","Use to gain 1 respawn coin.","Use to gain 1 respawn coin.","使用后增加 1 个复活币。","使用后增加 1 个复活币。",
"STR_RC_ITEM_VOUCHER_5_NAME","Respawn Voucher (5 uses)","Respawn Voucher (5 uses)","复活币凭证（5次）","复活币凭证（5次）",
"STR_RC_ITEM_VOUCHER_5_DESC","Use to gain 5 respawn coins.","Use to gain 5 respawn coins.","使用后增加 5 个复活币。","使用后增加 5 个复活币。",
"STR_RC_ITEM_VOUCHER_10_NAME","Respawn Voucher (10 uses)","Respawn Voucher (10 uses)","复活币凭证（10次）","复活币凭证（10次）",
"STR_RC_ITEM_VOUCHER_10_DESC","Use to gain 10 respawn coins.","Use to gain 10 respawn coins.","使用后增加 10 个复活币。","使用后增加 10 个复活币。",
"STR_RC_REASON_FORBIDDEN_TOXIC","Your death location is in a toxic zone, so the respawn coin cannot be used.","Your death location is in a toxic zone, so the respawn coin cannot be used.","死亡地点位于毒区，无法使用复活币。","死亡地点位于毒区，无法使用复活币。",
"STR_RC_REASON_FORBIDDEN_BOSS","Your death location is in a boss zone, so the respawn coin cannot be used.","Your death location is in a boss zone, so the respawn coin cannot be used.","死亡地点位于Boss区，无法使用复活币。","死亡地点位于Boss区，无法使用复活币。",
"STR_RC_REASON_FORBIDDEN_GENERIC","Your death location is in a restricted area, so the respawn coin cannot be used.","Your death location is in a restricted area, so the respawn coin cannot be used.","死亡地点位于禁用区域，无法使用复活币。","死亡地点位于禁用区域，无法使用复活币。",
"STR_RC_REASON_ZONE_APPEND","{reason} Zone: {zone}","{reason} Zone: {zone}","{reason} 区域：{zone}","{reason} 区域：{zone}",
"STR_RC_REASON_INVALID_IDENTITY","Identity is invalid and the respawn coin cannot be used.","Identity is invalid and the respawn coin cannot be used.","身份无效，无法使用复活币。","身份无效，无法使用复活币。",
"STR_RC_REASON_NO_DEATH_RECORD","There is currently no available death record.","There is currently no available death record.","当前没有可用的死亡记录。","当前没有可用的死亡记录。",
"STR_RC_REASON_NO_COINS","You currently have no respawn coins available and cannot respawn immediately.","You currently have no respawn coins available and cannot respawn immediately.","您当前没有可用复活币，无法立即复活。","您当前没有可用复活币，无法立即复活。",
"STR_RC_FAIL_NOT_SERVER","The current environment is not the server.","The current environment is not the server.","当前不在服务端环境。","当前不在服务端环境。",
"STR_RC_FAIL_INVALID_PLAYER","The player object is invalid.","The player object is invalid.","玩家对象无效。","玩家对象无效。",
"STR_RC_FAIL_INVALID_PLAYER_IDENTITY","The player identity is invalid.","The player identity is invalid.","玩家身份无效。","玩家身份无效。",
